event_id,user_id,event_timestamp,event_date,event_hour,day_of_week,category,action_type,reactions_received,session_id
E1007229,U100857,2025-12-01 06:01:09,2025-12-01,6,Monday,Memes & Humour,browse,0,S857_0
E1007225,U100857,2025-12-01 06:02:41,2025-12-01,6,Monday,Sports,browse,0,S857_0
E1000903,U100096,2025-12-01 06:04:03,2025-12-01,6,Monday,Music,pick,2,S96_0
E1016294,U101906,2025-12-01 06:09:18,2025-12-01,6,Monday,Movies & TV,browse,0,S1906_0
E1032584,U103801,2025-12-01 06:11:13,2025-12-01,6,Monday,Memes & Humour,react,0,S3801_0
E1017611,U102052,2025-12-01 06:13:17,2025-12-01,6,Monday,Food & Drink,react,0,S2052_0
E1013842,U101627,2025-12-01 06:15:52,2025-12-01,6,Monday,Gaming,pick,4,S1627_0
E1015477,U101797,2025-12-01 06:16:05,2025-12-01,6,Monday,Movies & TV,pick,11,S1797_0
E1015035,U101759,2025-12-01 06:27:32,2025-12-01,6,Monday,Sports,browse,0,S1759_0
E1015709,U101818,2025-12-01 06:35:08,2025-12-01,6,Monday,Memes & Humour,comment,5,S1818_0
E1037391,U104391,2025-12-01 06:41:05,2025-12-01,6,Monday,Travel,pick,8,S4391_0
E1003599,U100424,2025-12-01 06:43:36,2025-12-01,6,Monday,Current Affairs,react,0,S424_0
E1010258,U101204,2025-12-01 06:46:38,2025-12-01,6,Monday,Sports,browse,0,S1204_0
E1001728,U100197,2025-12-01 06:46:58,2025-12-01,6,Monday,Sports,pick,8,S197_0
E1035016,U104092,2025-12-01 06:52:31,2025-12-01,6,Monday,Memes & Humour,pick,7,S4092_0
E1006590,U100785,2025-12-01 06:55:33,2025-12-01,6,Monday,Current Affairs,react,0,S785_0
E1013889,U101632,2025-12-01 07:00:24,2025-12-01,7,Monday,Sports,browse,0,S1632_0
E1012834,U101514,2025-12-01 07:01:38,2025-12-01,7,Monday,Memes & Humour,share,0,S1514_0
E1023367,U102696,2025-12-01 07:08:31,2025-12-01,7,Monday,Sports,comment,8,S2696_0
E1023403,U102696,2025-12-01 07:09:14,2025-12-01,7,Monday,Sports,react,0,S2696_0
E1012827,U101514,2025-12-01 07:17:10,2025-12-01,7,Monday,Memes & Humour,browse,0,S1514_0
E1033537,U103906,2025-12-01 07:18:18,2025-12-01,7,Monday,Food & Drink,react,0,S3906_0
E1013353,U101576,2025-12-01 07:19:00,2025-12-01,7,Monday,Movies & TV,browse,0,S1576_0
E1031047,U103583,2025-12-01 07:19:14,2025-12-01,7,Monday,Sports,browse,0,S3583_0
E1010668,U101233,2025-12-01 07:23:42,2025-12-01,7,Monday,Movies & TV,browse,0,S1233_0
E1027455,U103160,2025-12-01 07:24:49,2025-12-01,7,Monday,Gaming,browse,0,S3160_0
E1014616,U101721,2025-12-01 07:25:06,2025-12-01,7,Monday,Sports,pick,2,S1721_0
E1016929,U101988,2025-12-01 07:28:31,2025-12-01,7,Monday,Memes & Humour,pick,7,S1988_0
E1036945,U104342,2025-12-01 07:30:52,2025-12-01,7,Monday,Movies & TV,browse,0,S4342_0
E1015197,U101770,2025-12-01 07:34:22,2025-12-01,7,Monday,Food & Drink,browse,0,S1770_0
E1037215,U104371,2025-12-01 07:34:34,2025-12-01,7,Monday,Movies & TV,browse,0,S4371_0
E1029970,U103463,2025-12-01 07:36:49,2025-12-01,7,Monday,Sports,browse,0,S3463_0
E1004365,U100521,2025-12-01 07:40:27,2025-12-01,7,Monday,Fashion & Beauty,pick,6,S521_0
E1036768,U104330,2025-12-01 07:44:00,2025-12-01,7,Monday,Movies & TV,comment,5,S4330_0
E1028372,U103294,2025-12-01 07:45:30,2025-12-01,7,Monday,Gaming,browse,0,S3294_0
E1041726,U104911,2025-12-01 07:45:30,2025-12-01,7,Monday,Sports,pick,5,S4911_0
E1017098,U102006,2025-12-01 07:45:46,2025-12-01,7,Monday,Memes & Humour,browse,0,S2006_0
E1007665,U100923,2025-12-01 07:47:14,2025-12-01,7,Monday,Books,browse,0,S923_0
E1007720,U100928,2025-12-01 07:49:18,2025-12-01,7,Monday,Fashion & Beauty,browse,0,S928_0
E1035767,U104197,2025-12-01 07:49:41,2025-12-01,7,Monday,Movies & TV,browse,0,S4197_0
E1033227,U103872,2025-12-01 07:52:10,2025-12-01,7,Monday,Memes & Humour,comment,6,S3872_0
E1036055,U104236,2025-12-01 07:55:37,2025-12-01,7,Monday,Movies & TV,comment,5,S4236_0
E1041675,U104906,2025-12-01 08:00:59,2025-12-01,8,Monday,Memes & Humour,browse,0,S4906_0
E1015466,U101797,2025-12-01 08:06:02,2025-12-01,8,Monday,Tech & Gadgets,pick,9,S1797_0
E1024790,U102888,2025-12-01 08:08:09,2025-12-01,8,Monday,Music,browse,0,S2888_0
E1032107,U103749,2025-12-01 08:08:52,2025-12-01,8,Monday,Memes & Humour,react,0,S3749_0
E1037233,U104371,2025-12-01 08:11:20,2025-12-01,8,Monday,Music,share,0,S4371_0
E1035002,U104092,2025-12-01 08:12:40,2025-12-01,8,Monday,Gaming,pick,3,S4092_0
E1015168,U101770,2025-12-01 08:14:12,2025-12-01,8,Monday,Tech & Gadgets,pick,3,S1770_0
E1006872,U100820,2025-12-01 08:16:50,2025-12-01,8,Monday,Fashion & Beauty,react,0,S820_0
E1013810,U101627,2025-12-01 08:17:13,2025-12-01,8,Monday,Memes & Humour,pick,7,S1627_0
E1017776,U102078,2025-12-01 08:19:00,2025-12-01,8,Monday,Music,browse,0,S2078_0
E1012132,U101436,2025-12-01 08:19:41,2025-12-01,8,Monday,Memes & Humour,pick,2,S1436_0
E1023769,U102757,2025-12-01 08:23:23,2025-12-01,8,Monday,Music,react,0,S2757_0
E1006591,U100785,2025-12-01 08:25:34,2025-12-01,8,Monday,Movies & TV,browse,0,S785_0
E1025099,U102917,2025-12-01 08:28:36,2025-12-01,8,Monday,Memes & Humour,browse,0,S2917_0
E1015046,U101759,2025-12-01 08:29:10,2025-12-01,8,Monday,Memes & Humour,pick,4,S1759_0
E1000917,U100096,2025-12-01 08:32:36,2025-12-01,8,Monday,Current Affairs,share,0,S96_0
E1026966,U103095,2025-12-01 08:34:18,2025-12-01,8,Monday,Movies & TV,share,0,S3095_0
E1006197,U100745,2025-12-01 08:35:26,2025-12-01,8,Monday,Music,browse,0,S745_0
E1032116,U103749,2025-12-01 08:37:18,2025-12-01,8,Monday,Gaming,browse,0,S3749_0
E1015227,U101775,2025-12-01 08:37:45,2025-12-01,8,Monday,Memes & Humour,pick,5,S1775_0
E1005947,U100706,2025-12-01 08:41:21,2025-12-01,8,Monday,Fashion & Beauty,browse,0,S706_0
E1020123,U102347,2025-12-01 08:42:07,2025-12-01,8,Monday,Travel,pick,4,S2347_0
E1035787,U104197,2025-12-01 08:47:02,2025-12-01,8,Monday,Memes & Humour,react,0,S4197_0
E1026904,U103089,2025-12-01 08:51:29,2025-12-01,8,Monday,Travel,share,0,S3089_0
E1008697,U101013,2025-12-01 08:53:17,2025-12-01,8,Monday,Sports,browse,0,S1013_0
E1017302,U102027,2025-12-01 08:56:31,2025-12-01,8,Monday,Sports,react,0,S2027_0
E1020391,U102365,2025-12-01 08:56:39,2025-12-01,8,Monday,Sports,share,0,S2365_0
E1025375,U102944,2025-12-01 09:00:33,2025-12-01,9,Monday,Movies & TV,browse,0,S2944_0
E1012835,U101514,2025-12-01 09:06:49,2025-12-01,9,Monday,Movies & TV,react,0,S1514_0
E1019226,U102236,2025-12-01 09:09:00,2025-12-01,9,Monday,Fashion & Beauty,pick,5,S2236_0
E1034311,U104003,2025-12-01 09:09:32,2025-12-01,9,Monday,Music,react,0,S4003_0
E1023772,U102757,2025-12-01 09:12:43,2025-12-01,9,Monday,Tech & Gadgets,pick,3,S2757_0
E1033173,U103871,2025-12-01 09:13:00,2025-12-01,9,Monday,Gaming,react,0,S3871_0
E1013525,U101599,2025-12-01 09:20:09,2025-12-01,9,Monday,Travel,pick,3,S1599_0
E1033780,U103936,2025-12-01 09:22:20,2025-12-01,9,Monday,Food & Drink,share,0,S3936_0
E1018824,U102177,2025-12-01 09:22:38,2025-12-01,9,Monday,Music,browse,0,S2177_0
E1026962,U103095,2025-12-01 09:24:46,2025-12-01,9,Monday,Tech & Gadgets,browse,0,S3095_0
E1026147,U103029,2025-12-01 09:26:17,2025-12-01,9,Monday,Food & Drink,share,0,S3029_0
E1015206,U101770,2025-12-01 09:29:57,2025-12-01,9,Monday,Memes & Humour,react,0,S1770_0
E1024450,U102827,2025-12-01 09:30:26,2025-12-01,9,Monday,Food & Drink,browse,0,S2827_0
E1024329,U102809,2025-12-01 09:32:08,2025-12-01,9,Monday,Memes & Humour,comment,6,S2809_0
E1033987,U103957,2025-12-01 09:35:09,2025-12-01,9,Monday,Books,pick,4,S3957_0
E1037383,U104389,2025-12-01 09:39:54,2025-12-01,9,Monday,Sports,pick,4,S4389_0
E1014600,U101721,2025-12-01 09:42:19,2025-12-01,9,Monday,Fashion & Beauty,react,0,S1721_0
E1032319,U103770,2025-12-01 09:43:47,2025-12-01,9,Monday,Travel,pick,11,S3770_0
E1024360,U102811,2025-12-01 09:43:53,2025-12-01,9,Monday,Food & Drink,browse,0,S2811_0
E1031417,U103612,2025-12-01 09:46:15,2025-12-01,9,Monday,Gaming,browse,0,S3612_0
E1016292,U101906,2025-12-01 09:47:10,2025-12-01,9,Monday,Travel,browse,0,S1906_0
E1024326,U102809,2025-12-01 09:48:03,2025-12-01,9,Monday,Tech & Gadgets,pick,5,S2809_0
E1015252,U101775,2025-12-01 09:49:09,2025-12-01,9,Monday,Current Affairs,pick,2,S1775_0
E1000999,U100117,2025-12-01 09:49:14,2025-12-01,9,Monday,Travel,comment,2,S117_0
E1010234,U101202,2025-12-01 09:50:04,2025-12-01,9,Monday,Movies & TV,browse,0,S1202_0
E1020394,U102365,2025-12-01 09:50:13,2025-12-01,9,Monday,Memes & Humour,browse,0,S2365_0
E1000125,U100012,2025-12-01 09:52:09,2025-12-01,9,Monday,Tech & Gadgets,pick,3,S12_0
E1014334,U101682,2025-12-01 09:54:29,2025-12-01,9,Monday,Music,react,0,S1682_0
E1038238,U104508,2025-12-01 09:55:02,2025-12-01,9,Monday,Memes & Humour,comment,5,S4508_0
E1017785,U102078,2025-12-01 10:00:02,2025-12-01,10,Monday,Current Affairs,pick,3,S2078_0
E1030004,U103464,2025-12-01 10:00:25,2025-12-01,10,Monday,Sports,browse,0,S3464_0
E1029011,U103367,2025-12-01 10:01:02,2025-12-01,10,Monday,Food & Drink,browse,0,S3367_0
E1033962,U103957,2025-12-01 10:04:56,2025-12-01,10,Monday,Gaming,browse,0,S3957_0
E1019946,U102326,2025-12-01 10:08:05,2025-12-01,10,Monday,Movies & TV,pick,4,S2326_0
E1028335,U103293,2025-12-01 10:10:24,2025-12-01,10,Monday,Sports,comment,17,S3293_0
E1028301,U103286,2025-12-01 10:13:01,2025-12-01,10,Monday,Lifestyle,comment,4,S3286_0
E1000901,U100096,2025-12-01 10:14:39,2025-12-01,10,Monday,Food & Drink,comment,3,S96_0
E1032605,U103801,2025-12-01 10:14:57,2025-12-01,10,Monday,Fashion & Beauty,browse,0,S3801_0
E1008598,U101006,2025-12-01 10:17:36,2025-12-01,10,Monday,Travel,pick,5,S1006_0
E1003700,U100437,2025-12-01 10:20:31,2025-12-01,10,Monday,Memes & Humour,pick,11,S437_0
E1031423,U103612,2025-12-01 10:26:57,2025-12-01,10,Monday,Tech & Gadgets,comment,4,S3612_0
E1011892,U101406,2025-12-01 10:28:12,2025-12-01,10,Monday,Music,react,0,S1406_0
E1039390,U104651,2025-12-01 10:28:19,2025-12-01,10,Monday,Movies & TV,react,0,S4651_0
E1008711,U101013,2025-12-01 10:28:34,2025-12-01,10,Monday,Memes & Humour,browse,0,S1013_0
E1005822,U100690,2025-12-01 10:32:42,2025-12-01,10,Monday,Sports,browse,0,S690_0
E1013289,U101562,2025-12-01 10:33:56,2025-12-01,10,Monday,Memes & Humour,react,0,S1562_0
E1025854,U103006,2025-12-01 10:37:46,2025-12-01,10,Monday,Music,browse,0,S3006_0
E1008695,U101013,2025-12-01 10:42:51,2025-12-01,10,Monday,Sports,comment,14,S1013_0
E1025719,U102990,2025-12-01 10:44:41,2025-12-01,10,Monday,Movies & TV,browse,0,S2990_0
E1028618,U103315,2025-12-01 10:46:53,2025-12-01,10,Monday,Gaming,react,0,S3315_0
E1037369,U104389,2025-12-01 10:49:16,2025-12-01,10,Monday,Movies & TV,react,0,S4389_0
E1024447,U102827,2025-12-01 10:54:24,2025-12-01,10,Monday,Movies & TV,comment,3,S2827_0
E1030448,U103513,2025-12-01 10:58:47,2025-12-01,10,Monday,Current Affairs,react,0,S3513_0
E1034333,U104003,2025-12-01 10:58:49,2025-12-01,10,Monday,Sports,browse,0,S4003_0
E1039403,U104651,2025-12-01 10:58:59,2025-12-01,10,Monday,Sports,pick,8,S4651_0
E1035770,U104197,2025-12-01 10:59:25,2025-12-01,10,Monday,Sports,share,0,S4197_0
E1014187,U101671,2025-12-01 11:02:40,2025-12-01,11,Monday,Gaming,pick,7,S1671_0
E1035774,U104197,2025-12-01 11:04:23,2025-12-01,11,Monday,Sports,pick,6,S4197_0
E1038463,U104546,2025-12-01 11:04:34,2025-12-01,11,Monday,Lifestyle,pick,8,S4546_0
E1024068,U102776,2025-12-01 11:05:39,2025-12-01,11,Monday,Movies & TV,pick,5,S2776_0
E1029017,U103367,2025-12-01 11:05:44,2025-12-01,11,Monday,Books,browse,0,S3367_0
E1029695,U103423,2025-12-01 11:07:03,2025-12-01,11,Monday,Tech & Gadgets,comment,4,S3423_0
E1008473,U100994,2025-12-01 11:10:57,2025-12-01,11,Monday,Memes & Humour,share,0,S994_0
E1006384,U100771,2025-12-01 11:12:52,2025-12-01,11,Monday,Movies & TV,browse,0,S771_0
E1013501,U101598,2025-12-01 11:13:45,2025-12-01,11,Monday,Memes & Humour,comment,4,S1598_0
E1036794,U104332,2025-12-01 11:18:50,2025-12-01,11,Monday,Memes & Humour,pick,4,S4332_0
E1029999,U103464,2025-12-01 11:19:37,2025-12-01,11,Monday,Food & Drink,share,0,S3464_0
E1033687,U103927,2025-12-01 11:24:59,2025-12-01,11,Monday,Music,browse,0,S3927_0
E1006873,U100820,2025-12-01 11:25:19,2025-12-01,11,Monday,Gaming,browse,0,S820_0
E1033792,U103938,2025-12-01 11:25:55,2025-12-01,11,Monday,Food & Drink,browse,0,S3938_0
E1002850,U100319,2025-12-01 11:28:15,2025-12-01,11,Monday,Sports,browse,0,S319_0
E1033201,U103871,2025-12-01 11:29:29,2025-12-01,11,Monday,Music,pick,10,S3871_0
E1004828,U100567,2025-12-01 11:29:32,2025-12-01,11,Monday,Music,browse,0,S567_0
E1033788,U103938,2025-12-01 11:31:07,2025-12-01,11,Monday,Food & Drink,browse,0,S3938_0
E1024066,U102776,2025-12-01 11:31:42,2025-12-01,11,Monday,Memes & Humour,browse,0,S2776_0
E1029991,U103464,2025-12-01 11:33:47,2025-12-01,11,Monday,Gaming,browse,0,S3464_0
E1027874,U103232,2025-12-01 11:34:31,2025-12-01,11,Monday,Memes & Humour,browse,0,S3232_0
E1016290,U101906,2025-12-01 11:36:26,2025-12-01,11,Monday,Travel,browse,0,S1906_0
E1013529,U101599,2025-12-01 11:36:46,2025-12-01,11,Monday,Memes & Humour,pick,10,S1599_0
E1035542,U104168,2025-12-01 11:37:09,2025-12-01,11,Monday,Sports,pick,7,S4168_0
E1030847,U103559,2025-12-01 11:39:30,2025-12-01,11,Monday,Food & Drink,browse,0,S3559_0
E1016017,U101865,2025-12-01 11:39:49,2025-12-01,11,Monday,Memes & Humour,pick,8,S1865_0
E1013665,U101615,2025-12-01 11:41:03,2025-12-01,11,Monday,Food & Drink,react,0,S1615_0
E1031945,U103718,2025-12-01 11:41:53,2025-12-01,11,Monday,Travel,browse,0,S3718_0
E1033779,U103936,2025-12-01 11:45:52,2025-12-01,11,Monday,Music,pick,3,S3936_0
E1024015,U102773,2025-12-01 11:47:53,2025-12-01,11,Monday,Sports,pick,7,S2773_0
E1013835,U101627,2025-12-01 11:49:16,2025-12-01,11,Monday,Memes & Humour,react,0,S1627_0
E1031043,U103583,2025-12-01 11:52:14,2025-12-01,11,Monday,Food & Drink,browse,0,S3583_0
E1001734,U100197,2025-12-01 11:54:01,2025-12-01,11,Monday,Gaming,browse,0,S197_0
E1017606,U102052,2025-12-01 11:54:22,2025-12-01,11,Monday,Music,react,0,S2052_0
E1019616,U102280,2025-12-01 11:55:03,2025-12-01,11,Monday,Movies & TV,browse,0,S2280_0
E1002846,U100319,2025-12-01 11:55:35,2025-12-01,11,Monday,Food & Drink,browse,0,S319_0
E1032112,U103749,2025-12-01 11:56:08,2025-12-01,11,Monday,Movies & TV,browse,0,S3749_0
E1006149,U100740,2025-12-01 11:56:09,2025-12-01,11,Monday,Music,browse,0,S740_0
E1006867,U100820,2025-12-01 11:57:04,2025-12-01,11,Monday,Food & Drink,pick,3,S820_0
E1005827,U100690,2025-12-01 12:03:32,2025-12-01,12,Monday,Books,react,0,S690_0
E1032317,U103770,2025-12-01 12:03:44,2025-12-01,12,Monday,Sports,pick,10,S3770_0
E1033686,U103927,2025-12-01 12:04:54,2025-12-01,12,Monday,Tech & Gadgets,browse,0,S3927_0
E1010225,U101202,2025-12-01 12:07:50,2025-12-01,12,Monday,Food & Drink,pick,4,S1202_0
E1014180,U101671,2025-12-01 12:08:01,2025-12-01,12,Monday,Current Affairs,react,0,S1671_0
E1003598,U100424,2025-12-01 12:10:37,2025-12-01,12,Monday,Fashion & Beauty,browse,0,S424_0
E1000787,U100091,2025-12-01 12:16:38,2025-12-01,12,Monday,Memes & Humour,browse,0,S91_0
E1007687,U100924,2025-12-01 12:18:35,2025-12-01,12,Monday,Memes & Humour,pick,7,S924_0
E1031075,U103585,2025-12-01 12:23:19,2025-12-01,12,Monday,Tech & Gadgets,react,0,S3585_0
E1007246,U100857,2025-12-01 12:24:27,2025-12-01,12,Monday,Memes & Humour,pick,5,S857_0
E1013857,U101632,2025-12-01 12:25:33,2025-12-01,12,Monday,Sports,react,0,S1632_0
E1004840,U100567,2025-12-01 12:26:58,2025-12-01,12,Monday,Memes & Humour,pick,6,S567_0
E1027449,U103160,2025-12-01 12:28:05,2025-12-01,12,Monday,Sports,react,0,S3160_0
E1026511,U103055,2025-12-01 12:28:19,2025-12-01,12,Monday,Memes & Humour,browse,0,S3055_0
E1004801,U100564,2025-12-01 12:28:23,2025-12-01,12,Monday,Memes & Humour,react,0,S564_0
E1024064,U102776,2025-12-01 12:30:10,2025-12-01,12,Monday,Sports,browse,0,S2776_0
E1007321,U100866,2025-12-01 12:30:32,2025-12-01,12,Monday,Food & Drink,browse,0,S866_0
E1035753,U104197,2025-12-01 12:36:04,2025-12-01,12,Monday,Memes & Humour,pick,2,S4197_0
E1013664,U101615,2025-12-01 12:36:45,2025-12-01,12,Monday,Memes & Humour,browse,0,S1615_0
E1034323,U104003,2025-12-01 12:38:14,2025-12-01,12,Monday,Sports,browse,0,S4003_0
E1013934,U101638,2025-12-01 12:39:02,2025-12-01,12,Monday,Movies & TV,share,0,S1638_0
E1012136,U101436,2025-12-01 12:39:54,2025-12-01,12,Monday,Movies & TV,pick,4,S1436_0
E1012125,U101436,2025-12-01 12:41:33,2025-12-01,12,Monday,Current Affairs,browse,0,S1436_0
E1024060,U102776,2025-12-01 12:42:49,2025-12-01,12,Monday,Sports,browse,0,S2776_0
E1015758,U101820,2025-12-01 12:43:03,2025-12-01,12,Monday,Music,browse,0,S1820_0
E1031551,U103624,2025-12-01 12:44:20,2025-12-01,12,Monday,Current Affairs,comment,5,S3624_0
E1016009,U101865,2025-12-01 12:44:37,2025-12-01,12,Monday,Current Affairs,pick,6,S1865_0
E1028362,U103293,2025-12-01 12:46:35,2025-12-01,12,Monday,Travel,browse,0,S3293_0
E1007235,U100857,2025-12-01 12:48:42,2025-12-01,12,Monday,Sports,browse,0,S857_0
E1036800,U104332,2025-12-01 12:49:24,2025-12-01,12,Monday,Movies & TV,react,0,S4332_0
E1017100,U102006,2025-12-01 12:50:46,2025-12-01,12,Monday,Lifestyle,react,0,S2006_0
E1001956,U100224,2025-12-01 12:51:48,2025-12-01,12,Monday,Gaming,react,0,S224_0
E1008584,U101006,2025-12-01 12:51:57,2025-12-01,12,Monday,Music,browse,0,S1006_0
E1035022,U104092,2025-12-01 12:52:52,2025-12-01,12,Monday,Food & Drink,pick,6,S4092_0
E1036745,U104324,2025-12-01 12:53:53,2025-12-01,12,Monday,Music,pick,2,S4324_0
E1008743,U101017,2025-12-01 12:54:41,2025-12-01,12,Monday,Food & Drink,browse,0,S1017_0
E1019902,U102322,2025-12-01 12:55:00,2025-12-01,12,Monday,Memes & Humour,react,0,S2322_0
E1013283,U101562,2025-12-01 12:55:48,2025-12-01,12,Monday,Sports,browse,0,S1562_0
E1006503,U100780,2025-12-01 12:58:15,2025-12-01,12,Monday,Fashion & Beauty,pick,7,S780_0
E1032298,U103770,2025-12-01 12:59:45,2025-12-01,12,Monday,Music,comment,10,S3770_0
E1037385,U104391,2025-12-01 13:00:45,2025-12-01,13,Monday,Food & Drink,browse,0,S4391_0
E1035529,U104168,2025-12-01 13:06:05,2025-12-01,13,Monday,Lifestyle,pick,6,S4168_0
E1015702,U101818,2025-12-01 13:06:32,2025-12-01,13,Monday,Music,react,0,S1818_0
E1008475,U100994,2025-12-01 13:07:53,2025-12-01,13,Monday,Sports,pick,14,S994_0
E1003648,U100431,2025-12-01 13:09:17,2025-12-01,13,Monday,Sports,browse,0,S431_0
E1018704,U102166,2025-12-01 13:10:33,2025-12-01,13,Monday,Movies & TV,pick,6,S2166_0
E1035598,U104173,2025-12-01 13:10:48,2025-12-01,13,Monday,Gaming,browse,0,S4173_0
E1034319,U104003,2025-12-01 13:11:36,2025-12-01,13,Monday,Tech & Gadgets,react,0,S4003_0
E1014332,U101682,2025-12-01 13:12:28,2025-12-01,13,Monday,Movies & TV,pick,11,S1682_0
E1033790,U103938,2025-12-01 13:14:25,2025-12-01,13,Monday,Music,browse,0,S3938_0
E1016014,U101865,2025-12-01 13:16:38,2025-12-01,13,Monday,Tech & Gadgets,pick,9,S1865_0
E1031949,U103718,2025-12-01 13:17:52,2025-12-01,13,Monday,Food & Drink,react,0,S3718_0
E1003606,U100424,2025-12-01 13:17:55,2025-12-01,13,Monday,Tech & Gadgets,pick,3,S424_0
E1019907,U102322,2025-12-01 13:18:20,2025-12-01,13,Monday,Memes & Humour,pick,2,S2322_0
E1037611,U104414,2025-12-01 13:19:01,2025-12-01,13,Monday,Sports,react,0,S4414_0
E1027454,U103160,2025-12-01 13:19:19,2025-12-01,13,Monday,Memes & Humour,browse,0,S3160_0
E1027234,U103132,2025-12-01 13:20:58,2025-12-01,13,Monday,Sports,pick,6,S3132_0
E1032046,U103731,2025-12-01 13:23:01,2025-12-01,13,Monday,Movies & TV,browse,0,S3731_0
E1003697,U100437,2025-12-01 13:23:34,2025-12-01,13,Monday,Movies & TV,react,0,S437_0
E1019073,U102218,2025-12-01 13:25:05,2025-12-01,13,Monday,Memes & Humour,browse,0,S2218_0
E1024069,U102776,2025-12-01 13:25:28,2025-12-01,13,Monday,Gaming,browse,0,S2776_0
E1036804,U104332,2025-12-01 13:26:56,2025-12-01,13,Monday,Food & Drink,pick,0,S4332_0
E1016236,U101892,2025-12-01 13:32:26,2025-12-01,13,Monday,Sports,react,0,S1892_0
E1027995,U103254,2025-12-01 13:33:44,2025-12-01,13,Monday,Travel,pick,4,S3254_0
E1030525,U103521,2025-12-01 13:36:30,2025-12-01,13,Monday,Food & Drink,browse,0,S3521_0
