user_id,waitlist_signup_date,acquisition_channel,device,region,age_group,onboarding_completed,onboarding_date,first_opinion_posted,first_post_date,active_week_1,user_segment,engagement_propensity
U100063,2025-09-13,referral,iOS,Tier 2,35-44,True,2025-09-25,True,2025-09-29,True,Voter,0.619
U100064,2025-09-26,influencer,iOS,Tier 2,18-24,True,2025-09-30,True,2025-10-04,False,Voter,0.559
U100065,2025-10-08,app_store,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.214
U100066,2025-10-04,organic,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.195
U100067,2025-10-09,organic,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.164
U100068,2025-09-24,social_ads,iOS,Tier 1,35-44,True,2025-10-07,False,,False,Browser,0.718
U100069,2025-11-11,influencer,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.281
U100070,2025-09-26,social_ads,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.566
U100071,2025-10-02,organic,iOS,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.056
U100072,2025-09-14,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.563
U100073,2025-10-05,social_ads,Android,Metro,18-24,True,2025-10-16,True,2025-10-19,True,Creator,0.733
U100074,2025-11-03,organic,Android,Metro,25-34,True,2025-11-16,True,2025-11-21,False,Voter,0.479
U100075,2025-11-14,app_store,Web,Tier 1,25-34,True,2025-11-28,False,,False,Browser,0.25
U100076,2025-10-22,app_store,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.688
U100077,2025-10-11,influencer,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.184
U100078,2025-10-01,social_ads,iOS,Metro,35-44,True,2025-10-10,True,2025-10-17,True,Voter,0.186
U100079,2025-10-22,organic,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.119
U100080,2025-09-25,influencer,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.388
U100081,2025-10-20,social_ads,Android,Metro,25-34,True,2025-10-21,False,,False,Browser,0.261
U100082,2025-10-09,referral,Android,Tier 2,25-34,True,2025-10-19,True,2025-10-24,False,Voter,0.454
U100083,2025-10-15,referral,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.521
U100084,2025-11-05,referral,Android,Metro,18-24,True,2025-11-18,False,,False,Browser,0.249
U100085,2025-09-12,social_ads,iOS,Tier 1,18-24,True,2025-09-24,True,2025-09-28,True,Voter,0.592
U100086,2025-10-13,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.482
U100087,2025-10-06,referral,Web,Tier 3,25-34,True,2025-10-06,True,2025-10-12,True,Voter,0.313
U100088,2025-10-19,app_store,Android,Tier 3,25-34,True,2025-10-27,False,,False,Browser,0.347
U100089,2025-10-18,app_store,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.519
U100090,2025-10-14,influencer,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.234
U100091,2025-11-02,social_ads,Android,Tier 1,18-24,True,2025-11-11,True,2025-11-14,True,Creator,0.639
U100092,2025-11-11,referral,iOS,Tier 1,35-44,True,2025-11-21,True,2025-11-27,False,Voter,0.552
U100093,2025-10-03,app_store,Android,Tier 1,35-44,True,2025-10-12,True,2025-10-18,True,Creator,0.872
U100094,2025-09-24,app_store,iOS,Metro,35-44,True,2025-10-08,True,2025-10-15,False,Creator,0.62
U100095,2025-09-06,organic,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.139
U100096,2025-11-15,social_ads,Android,Metro,35-44,True,2025-11-22,True,2025-11-26,True,Voter,0.443
U100097,2025-09-16,influencer,Web,Tier 1,18-24,True,2025-09-19,True,2025-09-24,False,Voter,0.139
U100098,2025-10-01,organic,Android,Tier 1,25-34,True,2025-10-11,False,,False,Browser,0.37
U100099,2025-10-06,referral,Web,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.353
U100100,2025-09-21,referral,iOS,Metro,25-34,True,2025-09-30,True,2025-10-04,False,Voter,0.249
U100101,2025-10-03,social_ads,Android,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.251
U100102,2025-11-12,organic,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.289
U100103,2025-09-02,social_ads,Android,Metro,18-24,True,2025-09-02,False,,False,Browser,0.274
U100104,2025-09-24,referral,iOS,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.965
U100105,2025-09-23,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.358
U100106,2025-10-19,social_ads,iOS,Tier 3,18-24,True,2025-10-27,False,,False,Browser,0.462
U100107,2025-09-13,referral,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.068
U100108,2025-09-23,referral,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.177
U100109,2025-09-23,social_ads,Android,Metro,25-34,True,2025-10-02,True,2025-10-02,True,Voter,0.452
U100110,2025-10-07,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.379
U100111,2025-09-28,organic,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.358
U100112,2025-09-18,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.136
U100113,2025-10-28,social_ads,Android,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.169
U100114,2025-11-04,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.285
U100115,2025-10-20,social_ads,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.586
U100116,2025-11-11,influencer,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.327
U100117,2025-09-19,social_ads,Android,Tier 2,35-44,True,2025-09-22,True,2025-09-24,True,Voter,0.284
U100118,2025-10-20,organic,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.613
U100119,2025-09-23,social_ads,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.154
U100120,2025-10-25,app_store,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.197
U100121,2025-10-10,influencer,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.172
U100122,2025-10-20,social_ads,Android,Tier 1,35-44,True,2025-11-01,False,,False,Browser,0.408
U100123,2025-09-15,influencer,Web,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.616
U100124,2025-10-30,app_store,iOS,Tier 1,35-44,True,2025-11-07,False,,False,Browser,0.247
U100125,2025-11-07,influencer,iOS,Tier 3,45+,False,,False,,False,Dropped (no onboarding),0.397
U100126,2025-11-09,organic,Web,Metro,25-34,True,2025-11-19,True,2025-11-24,True,Creator,0.809
U100127,2025-11-15,organic,Android,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.425
U100128,2025-09-09,social_ads,iOS,Tier 3,25-34,True,2025-09-18,True,2025-09-25,False,Voter,0.529
U100129,2025-10-11,organic,iOS,Tier 2,18-24,True,2025-10-19,True,2025-10-22,True,Voter,0.306
U100130,2025-11-08,app_store,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.104
U100131,2025-10-09,influencer,iOS,Tier 1,25-34,True,2025-10-22,True,2025-10-22,True,Voter,0.406
U100132,2025-10-27,social_ads,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.278
U100133,2025-10-07,app_store,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.507
U100134,2025-09-13,referral,Web,Metro,25-34,True,2025-09-18,True,2025-09-20,False,Creator,0.666
U100135,2025-09-07,organic,iOS,Tier 1,18-24,True,2025-09-08,True,2025-09-12,True,Voter,0.536
U100136,2025-10-16,app_store,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.251
U100137,2025-10-01,referral,Web,Tier 3,35-44,False,,False,,False,Dropped (no onboarding),0.056
U100138,2025-10-09,influencer,Android,Tier 1,18-24,True,2025-10-17,True,2025-10-17,True,Voter,0.203
U100139,2025-10-19,organic,Android,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.161
U100140,2025-09-19,referral,Web,Tier 2,18-24,True,2025-10-01,False,,False,Browser,0.288
U100141,2025-10-05,social_ads,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.063
U100142,2025-10-25,social_ads,iOS,Metro,45+,False,,False,,False,Dropped (no onboarding),0.205
U100143,2025-11-11,app_store,Web,Tier 1,18-24,True,2025-11-16,False,,False,Browser,0.244
U100144,2025-10-09,referral,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.242
U100145,2025-11-02,social_ads,Android,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.329
U100146,2025-09-22,app_store,iOS,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.435
U100147,2025-09-13,social_ads,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.353
U100148,2025-09-05,referral,Android,Tier 3,25-34,True,2025-09-08,False,,True,Browser,0.31
U100149,2025-10-23,referral,Android,Tier 1,18-24,True,2025-10-27,True,2025-10-27,True,Voter,0.465
U100150,2025-09-24,app_store,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.427
U100151,2025-09-29,social_ads,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.075
U100152,2025-09-17,referral,iOS,Tier 2,25-34,True,2025-09-29,False,,False,Browser,0.289
U100153,2025-09-16,organic,iOS,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.161
U100154,2025-09-19,influencer,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.158
U100155,2025-10-30,social_ads,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.162
U100156,2025-09-25,social_ads,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.564
U100157,2025-10-23,social_ads,iOS,Metro,45+,True,2025-10-23,True,2025-10-27,False,Creator,0.67
U100158,2025-09-07,app_store,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.27
U100159,2025-10-04,social_ads,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.221
U100160,2025-09-25,influencer,iOS,Tier 3,25-34,True,2025-10-09,True,2025-10-16,False,Creator,0.637
U100161,2025-09-04,referral,Android,Tier 3,35-44,True,2025-09-18,True,2025-09-22,True,Creator,0.667
U100162,2025-09-23,app_store,iOS,Tier 2,25-34,True,2025-09-28,False,,True,Browser,0.342
U100163,2025-09-12,app_store,Web,Tier 2,18-24,True,2025-09-15,True,2025-09-16,True,Voter,0.379
U100164,2025-10-13,influencer,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.575
U100165,2025-11-02,organic,Android,Tier 2,18-24,True,2025-11-13,True,2025-11-13,False,Creator,0.668
U100166,2025-11-20,social_ads,Android,Tier 1,45+,True,2025-11-30,False,,False,Browser,0.473
U100167,2025-09-20,social_ads,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.151
U100168,2025-09-12,organic,Web,Metro,18-24,True,2025-09-21,False,,False,Browser,0.669
U100169,2025-11-02,social_ads,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.112
U100170,2025-09-23,organic,Web,Tier 1,35-44,True,2025-10-06,True,2025-10-09,True,Voter,0.596
U100171,2025-10-02,referral,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.319
U100172,2025-11-03,referral,Android,Tier 1,25-34,True,2025-11-14,True,2025-11-20,True,Voter,0.188
U100173,2025-10-29,influencer,Android,Tier 2,35-44,True,2025-11-10,False,,False,Browser,0.376
U100174,2025-09-29,referral,iOS,Tier 2,35-44,True,2025-10-12,False,,False,Browser,0.49
U100175,2025-11-10,app_store,iOS,Tier 2,18-24,True,2025-11-14,False,,False,Browser,0.316
U100176,2025-09-11,social_ads,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.625
U100177,2025-09-10,influencer,Android,Metro,18-24,True,2025-09-16,True,2025-09-17,False,Creator,0.916
U100178,2025-09-22,social_ads,Android,Tier 3,45+,True,2025-09-29,True,2025-10-02,False,Voter,0.4
U100179,2025-10-26,social_ads,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.184
U100180,2025-11-03,influencer,iOS,Tier 2,25-34,True,2025-11-16,True,2025-11-17,True,Voter,0.298
U100181,2025-10-01,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.103
U100182,2025-09-05,organic,iOS,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.547
U100183,2025-11-02,app_store,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.126
U100184,2025-10-07,organic,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.091
U100185,2025-10-01,app_store,Android,Metro,35-44,True,2025-10-06,False,,False,Browser,0.268
U100186,2025-09-05,app_store,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.218
U100187,2025-09-16,app_store,iOS,Metro,18-24,True,2025-09-30,False,,False,Browser,0.101
U100188,2025-11-08,referral,Web,Tier 2,18-24,True,2025-11-20,True,2025-11-21,False,Voter,0.461
U100189,2025-10-26,organic,Web,Tier 2,45+,True,2025-11-04,True,2025-11-11,True,Voter,0.339
U100190,2025-11-15,organic,Android,Tier 2,25-34,True,2025-11-15,True,2025-11-16,True,Voter,0.358
U100191,2025-10-01,social_ads,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.485
U100192,2025-10-15,app_store,iOS,Tier 3,35-44,True,2025-10-15,False,,False,Browser,0.264
U100193,2025-11-02,app_store,iOS,Tier 1,35-44,True,2025-11-02,True,2025-11-03,True,Voter,0.352
U100194,2025-10-30,app_store,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.284
U100195,2025-10-28,influencer,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.173
U100196,2025-10-09,referral,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.471
U100197,2025-11-03,referral,Android,Tier 1,25-34,True,2025-11-14,True,2025-11-17,True,Creator,0.675
U100198,2025-10-28,referral,Android,Tier 1,18-24,True,2025-11-08,True,2025-11-13,True,Voter,0.477
U100199,2025-09-17,referral,iOS,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.646
U100200,2025-09-04,organic,Android,Metro,18-24,True,2025-09-17,False,,False,Browser,0.167
U100201,2025-11-07,social_ads,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.299
U100202,2025-09-26,referral,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.291
U100203,2025-10-10,referral,Android,Tier 2,35-44,True,2025-10-11,False,,False,Browser,0.852
U100204,2025-09-29,referral,Android,Metro,18-24,True,2025-10-07,False,,False,Browser,0.277
U100205,2025-09-30,organic,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.355
U100206,2025-10-20,referral,Android,Metro,25-34,True,2025-10-31,True,2025-11-04,True,Voter,0.579
U100207,2025-10-19,referral,Web,Tier 1,45+,True,2025-10-30,True,2025-11-05,True,Voter,0.426
U100208,2025-09-22,organic,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.245
U100209,2025-11-04,social_ads,iOS,Tier 2,18-24,True,2025-11-17,False,,False,Browser,0.297
U100210,2025-09-27,organic,Web,Metro,45+,True,2025-10-06,True,2025-10-06,True,Voter,0.124
U100211,2025-10-10,referral,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.032
U100212,2025-11-01,influencer,Android,Tier 1,18-24,True,2025-11-02,False,,False,Browser,0.28
U100213,2025-11-20,organic,Web,Tier 1,18-24,True,2025-11-28,False,,False,Browser,0.32
U100214,2025-09-19,influencer,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.197
U100215,2025-10-07,organic,Android,Tier 2,25-34,True,2025-10-09,True,2025-10-10,True,Creator,0.629
U100216,2025-09-19,social_ads,Web,Tier 2,18-24,True,2025-09-20,True,2025-09-20,False,Voter,0.295
U100217,2025-10-18,social_ads,Android,Tier 1,25-34,True,2025-10-25,False,,False,Browser,0.072
U100218,2025-09-22,app_store,iOS,Tier 1,45+,False,,False,,False,Dropped (no onboarding),0.261
U100219,2025-11-19,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.152
U100220,2025-10-08,influencer,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.471
U100221,2025-11-01,organic,Android,Tier 3,18-24,True,2025-11-12,False,,False,Browser,0.626
U100222,2025-09-08,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.181
U100223,2025-09-26,referral,iOS,Metro,45+,False,,False,,False,Dropped (no onboarding),0.325
U100224,2025-10-12,app_store,iOS,Tier 2,25-34,True,2025-10-24,True,2025-10-29,False,Voter,0.329
U100225,2025-10-10,organic,Android,Tier 1,18-24,True,2025-10-19,False,,False,Browser,0.552
U100226,2025-10-15,influencer,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.441
U100227,2025-10-01,organic,Android,Metro,18-24,True,2025-10-08,False,,False,Browser,0.335
U100228,2025-09-17,organic,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.242
U100229,2025-10-04,app_store,iOS,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.257
U100230,2025-11-03,influencer,Web,Tier 2,35-44,True,2025-11-08,False,,False,Browser,0.186
U100231,2025-10-12,organic,Android,Tier 1,25-34,True,2025-10-12,False,,False,Browser,0.13
U100232,2025-10-07,referral,Web,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.331
U100233,2025-09-22,social_ads,iOS,Metro,18-24,True,2025-10-01,False,,False,Browser,0.744
U100234,2025-11-03,influencer,iOS,Tier 2,35-44,True,2025-11-12,True,2025-11-16,True,Creator,0.872
U100235,2025-10-20,app_store,Web,Metro,18-24,True,2025-10-29,True,2025-10-30,False,Voter,0.343
U100236,2025-10-11,influencer,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.549
U100237,2025-10-07,app_store,Web,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.405
U100238,2025-09-05,app_store,Android,Tier 3,35-44,True,2025-09-17,True,2025-09-24,True,Creator,0.649
U100239,2025-09-30,referral,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.46
U100240,2025-09-18,influencer,Android,Tier 1,18-24,True,2025-10-01,True,2025-10-04,False,Voter,0.191
U100241,2025-09-18,influencer,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.234
U100242,2025-09-21,referral,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.175
U100243,2025-09-28,app_store,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.243
U100244,2025-09-10,organic,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.633
U100245,2025-09-08,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.328
U100246,2025-10-05,social_ads,Android,Metro,25-34,True,2025-10-06,False,,False,Browser,0.656
U100247,2025-09-14,social_ads,Android,Metro,35-44,True,2025-09-26,True,2025-09-30,False,Voter,0.148
U100248,2025-09-29,organic,Android,Tier 1,45+,True,2025-09-30,False,,False,Browser,0.244
U100249,2025-09-25,app_store,Web,Tier 1,25-34,True,2025-10-05,True,2025-10-10,True,Voter,0.352
U100250,2025-10-10,referral,iOS,Tier 1,18-24,True,2025-10-10,False,,False,Browser,0.648
U100251,2025-09-29,app_store,Android,Tier 1,45+,True,2025-10-02,True,2025-10-02,False,Voter,0.182
U100252,2025-10-08,influencer,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.204
U100253,2025-09-19,social_ads,iOS,Metro,18-24,True,2025-10-01,True,2025-10-02,True,Voter,0.509
U100254,2025-09-16,organic,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.322
U100255,2025-09-26,organic,Android,Tier 2,18-24,True,2025-10-04,True,2025-10-10,False,Voter,0.381
U100256,2025-11-21,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.343
U100257,2025-09-22,referral,Android,Tier 1,35-44,True,2025-09-26,True,2025-10-01,True,Voter,0.578
U100258,2025-10-05,referral,iOS,Tier 3,18-24,True,2025-10-17,True,2025-10-24,True,Voter,0.519
U100259,2025-10-12,organic,Android,Tier 3,18-24,True,2025-10-24,False,,False,Browser,0.477
U100260,2025-09-13,influencer,Android,Tier 1,35-44,True,2025-09-20,False,,False,Browser,0.62
U100261,2025-09-30,referral,Android,Metro,18-24,True,2025-10-07,True,2025-10-08,True,Voter,0.483
U100262,2025-10-09,influencer,iOS,Tier 3,25-34,True,2025-10-12,True,2025-10-18,True,Voter,0.545
U100263,2025-11-04,organic,Web,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.325
U100264,2025-10-08,app_store,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.152
U100265,2025-10-12,social_ads,Android,Metro,18-24,True,2025-10-12,True,2025-10-13,False,Voter,0.176
U100266,2025-10-13,influencer,iOS,Tier 2,18-24,True,2025-10-16,True,2025-10-21,True,Voter,0.267
