user_id,waitlist_signup_date,acquisition_channel,device,region,age_group,onboarding_completed,onboarding_date,first_opinion_posted,first_post_date,active_week_1,user_segment,engagement_propensity,predicted_retention_prob,cluster_label
U100023,2025-09-20,social_ads,Android,Tier 1,18-24,True,2025-09-21,True,2025-09-23,True,Voter,0.425,0.41,Active voters
U100024,2025-10-21,referral,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.254,,Did not activate
U100025,2025-10-17,organic,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.252,,Did not activate
U100026,2025-09-12,social_ads,Web,Metro,18-24,True,2025-09-23,True,2025-09-29,True,Voter,0.48,0.534,Active voters
U100027,2025-10-25,organic,iOS,Tier 2,25-34,True,2025-11-03,True,2025-11-06,True,Voter,0.435,0.532,Power creators
U100028,2025-10-05,app_store,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.476,,Did not activate
U100029,2025-11-15,influencer,Web,Tier 3,35-44,False,,False,,False,Dropped (no onboarding),0.108,,Did not activate
U100030,2025-09-29,social_ads,Android,Tier 1,25-34,True,2025-09-30,False,,False,Browser,0.28,0.394,Casual dippers
U100031,2025-11-09,referral,Android,Tier 2,25-34,True,2025-11-20,True,2025-11-27,False,Voter,0.523,0.448,Active voters
U100032,2025-09-22,organic,Android,Metro,18-24,True,2025-10-04,False,,False,Browser,0.445,0.358,Low-touch browsers
U100033,2025-09-09,social_ads,iOS,Metro,25-34,True,2025-09-09,False,,True,Browser,0.639,0.366,Casual dippers
U100034,2025-10-31,app_store,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.129,,Did not activate
U100035,2025-09-06,influencer,Android,Metro,45+,True,2025-09-15,False,,False,Browser,0.657,0.245,Low-touch browsers
U100036,2025-09-15,organic,Web,Tier 3,18-24,True,2025-09-18,True,2025-09-22,True,Creator,0.734,0.562,Power creators
U100037,2025-11-06,organic,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.528,,Did not activate
U100038,2025-10-04,social_ads,iOS,Tier 1,35-44,True,2025-10-07,False,,False,Browser,0.349,0.356,Low-touch browsers
U100039,2025-10-14,app_store,iOS,Tier 1,25-34,True,2025-10-17,False,,False,Browser,0.468,0.306,Low-touch browsers
U100040,2025-10-27,social_ads,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.417,,Did not activate
U100041,2025-10-26,social_ads,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.385,,Did not activate
U100042,2025-10-01,influencer,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.644,,Did not activate
U100043,2025-09-06,app_store,Android,Tier 1,18-24,True,2025-09-19,True,2025-09-24,False,Creator,0.644,0.443,Active voters
U100044,2025-09-19,app_store,Android,Metro,45+,False,,False,,False,Dropped (no onboarding),0.514,,Did not activate
U100045,2025-09-23,social_ads,Web,Tier 3,18-24,True,2025-10-01,True,2025-10-07,True,Voter,0.072,0.474,Casual dippers
U100046,2025-11-05,app_store,Android,Tier 1,35-44,True,2025-11-18,False,,False,Browser,0.259,0.266,Low-touch browsers
U100047,2025-11-08,referral,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.356,,Did not activate
U100048,2025-09-11,social_ads,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.172,,Did not activate
U100049,2025-10-02,app_store,iOS,Metro,18-24,True,2025-10-06,False,,True,Browser,0.604,0.308,Casual dippers
U100050,2025-11-16,social_ads,Web,Metro,35-44,True,2025-11-28,False,,False,Browser,0.423,0.312,Low-touch browsers
U100051,2025-10-04,influencer,Android,Metro,18-24,True,2025-10-18,False,,False,Browser,0.306,0.292,Low-touch browsers
U100052,2025-10-22,influencer,Android,Tier 2,18-24,True,2025-11-05,False,,False,Browser,0.763,0.337,Casual dippers
U100053,2025-10-21,app_store,iOS,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.283,,Did not activate
U100054,2025-10-19,social_ads,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.519,,Did not activate
U100055,2025-09-30,referral,Android,Metro,18-24,True,2025-10-12,True,2025-10-16,True,Voter,0.546,0.4,Power creators
U100056,2025-09-14,organic,Android,Tier 2,35-44,True,2025-09-22,False,,False,Browser,0.288,0.35,Low-touch browsers
U100057,2025-10-17,social_ads,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.167,,Did not activate
U100058,2025-10-26,social_ads,Android,Metro,18-24,True,2025-11-01,False,,False,Browser,0.035,0.371,Did not activate
U100059,2025-09-07,referral,iOS,Tier 2,18-24,True,2025-09-13,False,,True,Browser,0.581,0.462,Casual dippers
U100060,2025-11-17,organic,Android,Tier 1,18-24,True,2025-11-30,False,,False,Browser,0.427,0.378,Casual dippers
U100061,2025-09-02,influencer,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.191,,Did not activate
U100062,2025-09-04,organic,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.892,,Did not activate
U100063,2025-09-13,referral,iOS,Tier 2,35-44,True,2025-09-25,True,2025-09-29,True,Voter,0.619,0.611,Power creators
U100064,2025-09-26,influencer,iOS,Tier 2,18-24,True,2025-09-30,True,2025-10-04,False,Voter,0.559,0.948,Active voters
U100065,2025-10-08,app_store,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.214,,Did not activate
U100066,2025-10-04,organic,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.195,,Did not activate
U100067,2025-10-09,organic,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.164,,Did not activate
U100068,2025-09-24,social_ads,iOS,Tier 1,35-44,True,2025-10-07,False,,False,Browser,0.718,0.362,Low-touch browsers
U100069,2025-11-11,influencer,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.281,,Did not activate
U100070,2025-09-26,social_ads,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.566,,Did not activate
U100071,2025-10-02,organic,iOS,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.056,,Did not activate
U100072,2025-09-14,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.563,,Did not activate
U100073,2025-10-05,social_ads,Android,Metro,18-24,True,2025-10-16,True,2025-10-19,True,Creator,0.733,0.771,Power creators
U100074,2025-11-03,organic,Android,Metro,25-34,True,2025-11-16,True,2025-11-21,False,Voter,0.479,0.496,Active voters
U100075,2025-11-14,app_store,Web,Tier 1,25-34,True,2025-11-28,False,,False,Browser,0.25,0.3,Low-touch browsers
U100076,2025-10-22,app_store,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.688,,Did not activate
U100077,2025-10-11,influencer,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.184,,Did not activate
U100078,2025-10-01,social_ads,iOS,Metro,35-44,True,2025-10-10,True,2025-10-17,True,Voter,0.186,0.474,Casual dippers
U100079,2025-10-22,organic,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.119,,Did not activate
U100080,2025-09-25,influencer,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.388,,Did not activate
U100081,2025-10-20,social_ads,Android,Metro,25-34,True,2025-10-21,False,,False,Browser,0.261,0.368,Casual dippers
U100082,2025-10-09,referral,Android,Tier 2,25-34,True,2025-10-19,True,2025-10-24,False,Voter,0.454,0.681,Active voters
U100083,2025-10-15,referral,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.521,,Did not activate
U100084,2025-11-05,referral,Android,Metro,18-24,True,2025-11-18,False,,False,Browser,0.249,0.406,Low-touch browsers
U100085,2025-09-12,social_ads,iOS,Tier 1,18-24,True,2025-09-24,True,2025-09-28,True,Voter,0.592,0.756,Active voters
U100086,2025-10-13,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.482,,Did not activate
U100087,2025-10-06,referral,Web,Tier 3,25-34,True,2025-10-06,True,2025-10-12,True,Voter,0.313,0.595,Active voters
U100088,2025-10-19,app_store,Android,Tier 3,25-34,True,2025-10-27,False,,False,Browser,0.347,0.342,Low-touch browsers
U100089,2025-10-18,app_store,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.519,,Did not activate
U100090,2025-10-14,influencer,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.234,,Did not activate
U100091,2025-11-02,social_ads,Android,Tier 1,18-24,True,2025-11-11,True,2025-11-14,True,Creator,0.639,0.779,Power creators
U100092,2025-11-11,referral,iOS,Tier 1,35-44,True,2025-11-21,True,2025-11-27,False,Voter,0.552,0.617,Active voters
U100093,2025-10-03,app_store,Android,Tier 1,35-44,True,2025-10-12,True,2025-10-18,True,Creator,0.872,0.423,Power creators
U100094,2025-09-24,app_store,iOS,Metro,35-44,True,2025-10-08,True,2025-10-15,False,Creator,0.62,0.862,Power creators
U100095,2025-09-06,organic,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.139,,Did not activate
U100096,2025-11-15,social_ads,Android,Metro,35-44,True,2025-11-22,True,2025-11-26,True,Voter,0.443,0.746,Active voters
U100097,2025-09-16,influencer,Web,Tier 1,18-24,True,2025-09-19,True,2025-09-24,False,Voter,0.139,0.366,Casual dippers
U100098,2025-10-01,organic,Android,Tier 1,25-34,True,2025-10-11,False,,False,Browser,0.37,0.363,Low-touch browsers
U100099,2025-10-06,referral,Web,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.353,,Did not activate
U100100,2025-09-21,referral,iOS,Metro,25-34,True,2025-09-30,True,2025-10-04,False,Voter,0.249,0.64,Casual dippers
U100101,2025-10-03,social_ads,Android,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.251,,Did not activate
U100102,2025-11-12,organic,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.289,,Did not activate
U100103,2025-09-02,social_ads,Android,Metro,18-24,True,2025-09-02,False,,False,Browser,0.274,0.377,Low-touch browsers
U100104,2025-09-24,referral,iOS,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.965,,Did not activate
U100105,2025-09-23,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.358,,Did not activate
U100106,2025-10-19,social_ads,iOS,Tier 3,18-24,True,2025-10-27,False,,False,Browser,0.462,0.458,Casual dippers
U100107,2025-09-13,referral,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.068,,Did not activate
U100108,2025-09-23,referral,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.177,,Did not activate
U100109,2025-09-23,social_ads,Android,Metro,25-34,True,2025-10-02,True,2025-10-02,True,Voter,0.452,0.613,Active voters
U100110,2025-10-07,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.379,,Did not activate
U100111,2025-09-28,organic,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.358,,Did not activate
U100112,2025-09-18,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.136,,Did not activate
U100113,2025-10-28,social_ads,Android,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.169,,Did not activate
U100114,2025-11-04,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.285,,Did not activate
U100115,2025-10-20,social_ads,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.586,,Did not activate
U100116,2025-11-11,influencer,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.327,,Did not activate
U100117,2025-09-19,social_ads,Android,Tier 2,35-44,True,2025-09-22,True,2025-09-24,True,Voter,0.284,0.731,Active voters
U100118,2025-10-20,organic,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.613,,Did not activate
U100119,2025-09-23,social_ads,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.154,,Did not activate
U100120,2025-10-25,app_store,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.197,,Did not activate
U100121,2025-10-10,influencer,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.172,,Did not activate
U100122,2025-10-20,social_ads,Android,Tier 1,35-44,True,2025-11-01,False,,False,Browser,0.408,0.433,Low-touch browsers
U100123,2025-09-15,influencer,Web,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.616,,Did not activate
U100124,2025-10-30,app_store,iOS,Tier 1,35-44,True,2025-11-07,False,,False,Browser,0.247,0.285,Low-touch browsers
U100125,2025-11-07,influencer,iOS,Tier 3,45+,False,,False,,False,Dropped (no onboarding),0.397,,Did not activate
U100126,2025-11-09,organic,Web,Metro,25-34,True,2025-11-19,True,2025-11-24,True,Creator,0.809,0.754,Power creators
U100127,2025-11-15,organic,Android,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.425,,Did not activate
U100128,2025-09-09,social_ads,iOS,Tier 3,25-34,True,2025-09-18,True,2025-09-25,False,Voter,0.529,0.442,Active voters
U100129,2025-10-11,organic,iOS,Tier 2,18-24,True,2025-10-19,True,2025-10-22,True,Voter,0.306,0.435,Active voters
U100130,2025-11-08,app_store,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.104,,Did not activate
U100131,2025-10-09,influencer,iOS,Tier 1,25-34,True,2025-10-22,True,2025-10-22,True,Voter,0.406,0.758,Active voters
U100132,2025-10-27,social_ads,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.278,,Did not activate
U100133,2025-10-07,app_store,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.507,,Did not activate
U100134,2025-09-13,referral,Web,Metro,25-34,True,2025-09-18,True,2025-09-20,False,Creator,0.666,0.618,Active voters
U100135,2025-09-07,organic,iOS,Tier 1,18-24,True,2025-09-08,True,2025-09-12,True,Voter,0.536,0.553,Active voters
U100136,2025-10-16,app_store,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.251,,Did not activate
U100137,2025-10-01,referral,Web,Tier 3,35-44,False,,False,,False,Dropped (no onboarding),0.056,,Did not activate
U100138,2025-10-09,influencer,Android,Tier 1,18-24,True,2025-10-17,True,2025-10-17,True,Voter,0.203,0.592,Active voters
U100139,2025-10-19,organic,Android,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.161,,Did not activate
U100140,2025-09-19,referral,Web,Tier 2,18-24,True,2025-10-01,False,,False,Browser,0.288,0.454,Low-touch browsers
U100141,2025-10-05,social_ads,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.063,,Did not activate
U100142,2025-10-25,social_ads,iOS,Metro,45+,False,,False,,False,Dropped (no onboarding),0.205,,Did not activate
U100143,2025-11-11,app_store,Web,Tier 1,18-24,True,2025-11-16,False,,False,Browser,0.244,0.314,Low-touch browsers
U100144,2025-10-09,referral,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.242,,Did not activate
U100145,2025-11-02,social_ads,Android,Tier 2,45+,False,,False,,False,Dropped (no onboarding),0.329,,Did not activate
U100146,2025-09-22,app_store,iOS,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.435,,Did not activate
U100147,2025-09-13,social_ads,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.353,,Did not activate
U100148,2025-09-05,referral,Android,Tier 3,25-34,True,2025-09-08,False,,True,Browser,0.31,0.455,Casual dippers
U100149,2025-10-23,referral,Android,Tier 1,18-24,True,2025-10-27,True,2025-10-27,True,Voter,0.465,0.611,Power creators
U100150,2025-09-24,app_store,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.427,,Did not activate
U100151,2025-09-29,social_ads,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.075,,Did not activate
U100152,2025-09-17,referral,iOS,Tier 2,25-34,True,2025-09-29,False,,False,Browser,0.289,0.446,Casual dippers
U100153,2025-09-16,organic,iOS,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.161,,Did not activate
U100154,2025-09-19,influencer,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.158,,Did not activate
U100155,2025-10-30,social_ads,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.162,,Did not activate
U100156,2025-09-25,social_ads,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.564,,Did not activate
U100157,2025-10-23,social_ads,iOS,Metro,45+,True,2025-10-23,True,2025-10-27,False,Creator,0.67,0.857,Active voters
U100158,2025-09-07,app_store,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.27,,Did not activate
U100159,2025-10-04,social_ads,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.221,,Did not activate
U100160,2025-09-25,influencer,iOS,Tier 3,25-34,True,2025-10-09,True,2025-10-16,False,Creator,0.637,0.333,Active voters
U100161,2025-09-04,referral,Android,Tier 3,35-44,True,2025-09-18,True,2025-09-22,True,Creator,0.667,0.891,Active voters
U100162,2025-09-23,app_store,iOS,Tier 2,25-34,True,2025-09-28,False,,True,Browser,0.342,0.334,Low-touch browsers
U100163,2025-09-12,app_store,Web,Tier 2,18-24,True,2025-09-15,True,2025-09-16,True,Voter,0.379,0.632,Active voters
U100164,2025-10-13,influencer,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.575,,Did not activate
U100165,2025-11-02,organic,Android,Tier 2,18-24,True,2025-11-13,True,2025-11-13,False,Creator,0.668,0.395,Power creators
U100166,2025-11-20,social_ads,Android,Tier 1,45+,True,2025-11-30,False,,False,Browser,0.473,0.366,Casual dippers
U100167,2025-09-20,social_ads,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.151,,Did not activate
U100168,2025-09-12,organic,Web,Metro,18-24,True,2025-09-21,False,,False,Browser,0.669,0.332,Casual dippers
U100169,2025-11-02,social_ads,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.112,,Did not activate
U100170,2025-09-23,organic,Web,Tier 1,35-44,True,2025-10-06,True,2025-10-09,True,Voter,0.596,0.686,Active voters
U100171,2025-10-02,referral,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.319,,Did not activate
U100172,2025-11-03,referral,Android,Tier 1,25-34,True,2025-11-14,True,2025-11-20,True,Voter,0.188,0.474,Active voters
U100173,2025-10-29,influencer,Android,Tier 2,35-44,True,2025-11-10,False,,False,Browser,0.376,0.29,Low-touch browsers
U100174,2025-09-29,referral,iOS,Tier 2,35-44,True,2025-10-12,False,,False,Browser,0.49,0.414,Low-touch browsers
U100175,2025-11-10,app_store,iOS,Tier 2,18-24,True,2025-11-14,False,,False,Browser,0.316,0.348,Low-touch browsers
U100176,2025-09-11,social_ads,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.625,,Did not activate
U100177,2025-09-10,influencer,Android,Metro,18-24,True,2025-09-16,True,2025-09-17,False,Creator,0.916,0.45,Power creators
U100178,2025-09-22,social_ads,Android,Tier 3,45+,True,2025-09-29,True,2025-10-02,False,Voter,0.4,0.635,Active voters
U100179,2025-10-26,social_ads,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.184,,Did not activate
U100180,2025-11-03,influencer,iOS,Tier 2,25-34,True,2025-11-16,True,2025-11-17,True,Voter,0.298,0.879,Active voters
U100181,2025-10-01,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.103,,Did not activate
U100182,2025-09-05,organic,iOS,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.547,,Did not activate
U100183,2025-11-02,app_store,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.126,,Did not activate
U100184,2025-10-07,organic,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.091,,Did not activate
U100185,2025-10-01,app_store,Android,Metro,35-44,True,2025-10-06,False,,False,Browser,0.268,0.26,Low-touch browsers
U100186,2025-09-05,app_store,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.218,,Did not activate
U100187,2025-09-16,app_store,iOS,Metro,18-24,True,2025-09-30,False,,False,Browser,0.101,0.313,Low-touch browsers
U100188,2025-11-08,referral,Web,Tier 2,18-24,True,2025-11-20,True,2025-11-21,False,Voter,0.461,0.883,Casual dippers
U100189,2025-10-26,organic,Web,Tier 2,45+,True,2025-11-04,True,2025-11-11,True,Voter,0.339,0.432,Power creators
U100190,2025-11-15,organic,Android,Tier 2,25-34,True,2025-11-15,True,2025-11-16,True,Voter,0.358,0.499,Active voters
U100191,2025-10-01,social_ads,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.485,,Did not activate
U100192,2025-10-15,app_store,iOS,Tier 3,35-44,True,2025-10-15,False,,False,Browser,0.264,0.351,Low-touch browsers
U100193,2025-11-02,app_store,iOS,Tier 1,35-44,True,2025-11-02,True,2025-11-03,True,Voter,0.352,0.463,Active voters
U100194,2025-10-30,app_store,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.284,,Did not activate
U100195,2025-10-28,influencer,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.173,,Did not activate
U100196,2025-10-09,referral,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.471,,Did not activate
U100197,2025-11-03,referral,Android,Tier 1,25-34,True,2025-11-14,True,2025-11-17,True,Creator,0.675,0.841,Power creators
U100198,2025-10-28,referral,Android,Tier 1,18-24,True,2025-11-08,True,2025-11-13,True,Voter,0.477,0.42,Active voters
U100199,2025-09-17,referral,iOS,Tier 2,35-44,False,,False,,False,Dropped (no onboarding),0.646,,Did not activate
U100200,2025-09-04,organic,Android,Metro,18-24,True,2025-09-17,False,,False,Browser,0.167,0.365,Low-touch browsers
U100201,2025-11-07,social_ads,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.299,,Did not activate
U100202,2025-09-26,referral,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.291,,Did not activate
U100203,2025-10-10,referral,Android,Tier 2,35-44,True,2025-10-11,False,,False,Browser,0.852,0.436,Casual dippers
U100204,2025-09-29,referral,Android,Metro,18-24,True,2025-10-07,False,,False,Browser,0.277,0.393,Low-touch browsers
U100205,2025-09-30,organic,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.355,,Did not activate
U100206,2025-10-20,referral,Android,Metro,25-34,True,2025-10-31,True,2025-11-04,True,Voter,0.579,0.782,Power creators
U100207,2025-10-19,referral,Web,Tier 1,45+,True,2025-10-30,True,2025-11-05,True,Voter,0.426,0.671,Active voters
U100208,2025-09-22,organic,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.245,,Did not activate
U100209,2025-11-04,social_ads,iOS,Tier 2,18-24,True,2025-11-17,False,,False,Browser,0.297,0.464,Low-touch browsers
U100210,2025-09-27,organic,Web,Metro,45+,True,2025-10-06,True,2025-10-06,True,Voter,0.124,0.486,Low-touch browsers
U100211,2025-10-10,referral,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.032,,Did not activate
U100212,2025-11-01,influencer,Android,Tier 1,18-24,True,2025-11-02,False,,False,Browser,0.28,0.321,Low-touch browsers
U100213,2025-11-20,organic,Web,Tier 1,18-24,True,2025-11-28,False,,False,Browser,0.32,0.369,Casual dippers
U100214,2025-09-19,influencer,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.197,,Did not activate
U100215,2025-10-07,organic,Android,Tier 2,25-34,True,2025-10-09,True,2025-10-10,True,Creator,0.629,0.858,Power creators
U100216,2025-09-19,social_ads,Web,Tier 2,18-24,True,2025-09-20,True,2025-09-20,False,Voter,0.295,0.503,Active voters
U100217,2025-10-18,social_ads,Android,Tier 1,25-34,True,2025-10-25,False,,False,Browser,0.072,0.401,Low-touch browsers
U100218,2025-09-22,app_store,iOS,Tier 1,45+,False,,False,,False,Dropped (no onboarding),0.261,,Did not activate
U100219,2025-11-19,referral,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.152,,Did not activate
U100220,2025-10-08,influencer,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.471,,Did not activate
U100221,2025-11-01,organic,Android,Tier 3,18-24,True,2025-11-12,False,,False,Browser,0.626,0.428,Casual dippers
U100222,2025-09-08,social_ads,Android,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.181,,Did not activate
U100223,2025-09-26,referral,iOS,Metro,45+,False,,False,,False,Dropped (no onboarding),0.325,,Did not activate
U100224,2025-10-12,app_store,iOS,Tier 2,25-34,True,2025-10-24,True,2025-10-29,False,Voter,0.329,0.399,Active voters
U100225,2025-10-10,organic,Android,Tier 1,18-24,True,2025-10-19,False,,False,Browser,0.552,0.378,Low-touch browsers
U100226,2025-10-15,influencer,Android,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.441,,Did not activate
U100227,2025-10-01,organic,Android,Metro,18-24,True,2025-10-08,False,,False,Browser,0.335,0.346,Low-touch browsers
